TOTAL	GeneChunk	runMONSTER	didFAIL	isMISSING
CC2D1A	4941	FALSE	TRUE	FALSE
PROB1	4942	TRUE	FALSE	FALSE
HSD17B1	4943	TRUE	FALSE	FALSE
SPEM1	4944	FALSE	TRUE	FALSE
INSRR	4945	TRUE	FALSE	FALSE
SLC45A2	4946	TRUE	FALSE	FALSE
TIAM1	4947	TRUE	FALSE	FALSE
C1QL2	4948	TRUE	FALSE	FALSE
GUCY1A2	4949	TRUE	FALSE	FALSE
RP11-574F21.3	4950	TRUE	FALSE	FALSE
PCDHGA6	4951	TRUE	FALSE	FALSE
SLC9B2	4952	TRUE	FALSE	FALSE
IQGAP2	4953	TRUE	FALSE	FALSE
CYP4F12	4954	TRUE	FALSE	FALSE
RAC1	4955	TRUE	FALSE	FALSE
TMEM252	4956	TRUE	FALSE	FALSE
SPDL1	4957	TRUE	FALSE	FALSE
CDHR4	4958	TRUE	FALSE	FALSE
ENKUR	4959	TRUE	FALSE	FALSE
ARMS2	4960	TRUE	FALSE	FALSE
RP1-317E23.6	4961	TRUE	FALSE	FALSE
CDH11	4962	TRUE	FALSE	FALSE
PTAR1	4963	TRUE	FALSE	FALSE
SNX18	4964	TRUE	FALSE	FALSE
AOX1	4965	TRUE	FALSE	FALSE
ZNF439	4966	TRUE	FALSE	FALSE
PPP1R7	4967	TRUE	FALSE	FALSE
KRI1	4968	TRUE	FALSE	FALSE
WNT6	4969	TRUE	FALSE	FALSE
COX19	4970	TRUE	FALSE	FALSE
DUSP19	4971	TRUE	FALSE	FALSE
TBC1D10B	4972	TRUE	FALSE	FALSE
PITRM1	4973	TRUE	FALSE	FALSE
TLR9	4974	TRUE	FALSE	FALSE
EPHA1	4975	TRUE	FALSE	FALSE
MSANTD2	4976	TRUE	FALSE	FALSE
P2RY6	4977	TRUE	FALSE	FALSE
RP11-949J7.8	4978	TRUE	FALSE	FALSE
WSB2	4979	TRUE	FALSE	FALSE
PRSS23	4980	TRUE	FALSE	FALSE
SIGLEC6	4981	TRUE	FALSE	FALSE
RXFP2	4982	TRUE	FALSE	FALSE
NGEF	4983	TRUE	FALSE	FALSE
C7orf31	4984	TRUE	FALSE	FALSE
EEPD1	4985	TRUE	FALSE	FALSE
VPS4A	4986	TRUE	FALSE	FALSE
PEBP4	4987	TRUE	FALSE	FALSE
GAL3ST2	4988	TRUE	FALSE	FALSE
AZIN1	4989	TRUE	FALSE	FALSE
TMC1	4990	TRUE	FALSE	FALSE
OR6C1	4991	FALSE	TRUE	FALSE
SLC12A5	4992	TRUE	FALSE	FALSE
TIMM23B	4993	FALSE	TRUE	FALSE
BOLA1	4994	TRUE	FALSE	FALSE
BCAR1	4995	TRUE	FALSE	FALSE
GATM	4996	TRUE	FALSE	FALSE
GRN	4997	TRUE	FALSE	FALSE
HOXC12	4998	TRUE	FALSE	FALSE
CNGA3	4999	TRUE	FALSE	FALSE
SLC22A8	5000	TRUE	FALSE	FALSE
ACSF3	5001	TRUE	FALSE	FALSE
IMPA1	5002	TRUE	FALSE	FALSE
RP11-49K24.9	5003	FALSE	TRUE	FALSE
RASGRP4	5004	TRUE	FALSE	FALSE
OR4M1	5005	FALSE	TRUE	FALSE
TMEM251	5006	TRUE	FALSE	FALSE
RP11-226E21.4	5007	TRUE	FALSE	FALSE
ADCY1	5008	TRUE	FALSE	FALSE
TXNDC16	5009	TRUE	FALSE	FALSE
CCDC121	5010	FALSE	TRUE	FALSE
NOVA1	5011	TRUE	FALSE	FALSE
OR6J1	5012	FALSE	TRUE	FALSE
FLOT1	5013	TRUE	FALSE	FALSE
KIAA0040	5014	TRUE	FALSE	FALSE
ARHGAP17	5015	TRUE	FALSE	FALSE
BEST1	5016	TRUE	FALSE	FALSE
PROK2	5017	TRUE	FALSE	FALSE
CFHR1	5018	TRUE	FALSE	FALSE
LINC00998	5019	TRUE	FALSE	FALSE
CAPN3	5020	TRUE	FALSE	FALSE
B3GNT2	5021	TRUE	FALSE	FALSE
OR4F21	5022	FALSE	TRUE	FALSE
GPR25	5023	FALSE	TRUE	FALSE
SRD5A3	5024	TRUE	FALSE	FALSE
GPATCH11	5025	TRUE	FALSE	FALSE
ANXA8L1	5026	FALSE	TRUE	FALSE
MYH3	5027	TRUE	FALSE	FALSE
ATAT1	5028	TRUE	FALSE	FALSE
SUN3	5029	TRUE	FALSE	FALSE
OR8I2	5030	TRUE	FALSE	FALSE
OSBPL7	5031	TRUE	FALSE	FALSE
MRGPRE	5032	TRUE	FALSE	FALSE
MYO18B	5033	TRUE	FALSE	FALSE
CREB5	5034	TRUE	FALSE	FALSE
FAM187B	5035	TRUE	FALSE	FALSE
ROBO2	5036	TRUE	FALSE	FALSE
USP17L8	5037	FALSE	TRUE	FALSE
ATP2A3	5038	TRUE	FALSE	FALSE
PLXDC1	5039	TRUE	FALSE	FALSE
STRA8	5040	TRUE	FALSE	FALSE
TM4SF4	5041	TRUE	FALSE	FALSE
SYCP1	5042	TRUE	FALSE	FALSE
OR10AG1	5043	TRUE	FALSE	FALSE
NUTM2E	5044	TRUE	FALSE	FALSE
MAP1LC3B	5045	TRUE	FALSE	FALSE
ZNF687	5046	TRUE	FALSE	FALSE
PRRT4	5047	TRUE	FALSE	FALSE
TMEM241	5048	TRUE	FALSE	FALSE
AC011380.1	5049	FALSE	TRUE	FALSE
UGGT1	5050	TRUE	FALSE	FALSE
GMPPB	5051	TRUE	FALSE	FALSE
TMEM249	5052	FALSE	TRUE	FALSE
SLC5A2	5053	TRUE	FALSE	FALSE
HSP90B1	5054	TRUE	FALSE	FALSE
CALR3	5055	TRUE	FALSE	FALSE
MT3	5056	TRUE	FALSE	FALSE
LSS	5057	TRUE	FALSE	FALSE
C4orf22	5058	TRUE	FALSE	FALSE
SLC30A4	5059	TRUE	FALSE	FALSE
EPPK1	5060	FALSE	TRUE	FALSE
AC026248.1	5061	FALSE	TRUE	FALSE
SLFN13	5062	TRUE	FALSE	FALSE
FNTA	5063	TRUE	FALSE	FALSE
PTPRM	5064	TRUE	FALSE	FALSE
NMB	5065	TRUE	FALSE	FALSE
ZBTB40	5066	TRUE	FALSE	FALSE
VHL	5067	TRUE	FALSE	FALSE
TAGAP	5068	TRUE	FALSE	FALSE
IL23R	5069	TRUE	FALSE	FALSE
GPR4	5070	TRUE	FALSE	FALSE
CGRRF1	5071	TRUE	FALSE	FALSE
TRDMT1	5072	TRUE	FALSE	FALSE
PPP2CB	5073	TRUE	FALSE	FALSE
KRT83	5074	TRUE	FALSE	FALSE
ZCCHC8	5075	TRUE	FALSE	FALSE
PTGDS	5076	TRUE	FALSE	FALSE
SMC5	5077	TRUE	FALSE	FALSE
ABHD17A	5078	TRUE	FALSE	FALSE
LCN10	5079	TRUE	FALSE	FALSE
ITPK1	5080	TRUE	FALSE	FALSE
PIP	5081	TRUE	FALSE	FALSE
SGSH	5082	TRUE	FALSE	FALSE
RP11-47I22.4	5083	TRUE	FALSE	FALSE
EREG	5084	TRUE	FALSE	FALSE
ALDH1A2	5085	TRUE	FALSE	FALSE
GCAT	5086	TRUE	FALSE	FALSE
SLFN14	5087	TRUE	FALSE	FALSE
SERPINF2	5088	FALSE	TRUE	FALSE
NXNL2	5089	TRUE	FALSE	FALSE
PRLHR	5090	TRUE	FALSE	FALSE
CDH17	5091	TRUE	FALSE	FALSE
C6orf47	5092	TRUE	FALSE	FALSE
MAK16	5093	TRUE	FALSE	FALSE
DRC7	5094	TRUE	FALSE	FALSE
CNIH1	5095	TRUE	FALSE	FALSE
C3orf22	5096	TRUE	FALSE	FALSE
USP17L19	5097	FALSE	TRUE	FALSE
GATS	5098	TRUE	FALSE	FALSE
KCNH1	5099	TRUE	FALSE	FALSE
RP11-447L10.1	5100	TRUE	FALSE	FALSE
APEX1	5101	TRUE	FALSE	FALSE
C1orf234	5102	FALSE	TRUE	FALSE
ZFPM1	5103	TRUE	FALSE	FALSE
ATP4B	5104	TRUE	FALSE	FALSE
IZUMO1R	5105	TRUE	FALSE	FALSE
SARS2	5106	TRUE	FALSE	FALSE
JAGN1	5107	TRUE	FALSE	FALSE
CCDC154	5108	TRUE	FALSE	FALSE
GSG2	5109	TRUE	FALSE	FALSE
TEP1	5110	TRUE	FALSE	FALSE
DPYSL4	5111	TRUE	FALSE	FALSE
KIAA0907	5112	TRUE	FALSE	FALSE
NUP205	5113	TRUE	FALSE	FALSE
ADAMTS7	5114	TRUE	FALSE	FALSE
RFX1	5115	TRUE	FALSE	FALSE
GLG1	5116	TRUE	FALSE	FALSE
DENND4C	5117	TRUE	FALSE	FALSE
ERI3	5118	TRUE	FALSE	FALSE
PDLIM2	5119	TRUE	FALSE	FALSE
RPL32	5120	TRUE	FALSE	FALSE
CDK2	5121	TRUE	FALSE	FALSE
FCAMR	5122	TRUE	FALSE	FALSE
MRPL39	5123	TRUE	FALSE	FALSE
C8A	5124	TRUE	FALSE	FALSE
ELF5	5125	TRUE	FALSE	FALSE
AACS	5126	TRUE	FALSE	FALSE
CCDC168	5127	TRUE	FALSE	FALSE
UCP3	5128	TRUE	FALSE	FALSE
LIN54	5129	TRUE	FALSE	FALSE
HSPA9	5130	TRUE	FALSE	FALSE
CYP2A13	5131	TRUE	FALSE	FALSE
AIDA	5132	TRUE	FALSE	FALSE
SERINC5	5133	TRUE	FALSE	FALSE
CACNA2D3	5134	TRUE	FALSE	FALSE
ARHGEF16	5135	TRUE	FALSE	FALSE
ROPN1	5136	TRUE	FALSE	FALSE
ZDHHC3	5137	TRUE	FALSE	FALSE
ADA	5138	TRUE	FALSE	FALSE
PIGL	5139	TRUE	FALSE	FALSE
OR2L13	5140	TRUE	FALSE	FALSE
GTF2E2	5141	TRUE	FALSE	FALSE
RAPGEF5	5142	TRUE	FALSE	FALSE
ADGB	5143	TRUE	FALSE	FALSE
MORN5	5144	TRUE	FALSE	FALSE
TUBB2A	5145	TRUE	FALSE	FALSE
MMP16	5146	TRUE	FALSE	FALSE
FAM35A	5147	TRUE	FALSE	FALSE
RHOU	5148	TRUE	FALSE	FALSE
METTL4	5149	TRUE	FALSE	FALSE
FKBP8	5150	TRUE	FALSE	FALSE
HSPBAP1	5151	TRUE	FALSE	FALSE
TMEM14A	5152	TRUE	FALSE	FALSE
MBD4	5153	TRUE	FALSE	FALSE
MFSD13A	5154	TRUE	FALSE	FALSE
IQCC	5155	TRUE	FALSE	FALSE
WDYHV1	5156	TRUE	FALSE	FALSE
ZNF436	5157	TRUE	FALSE	FALSE
GGACT	5158	TRUE	FALSE	FALSE
KIFC1	5159	TRUE	FALSE	FALSE
C6orf106	5160	TRUE	FALSE	FALSE
NAV2	5161	TRUE	FALSE	FALSE
IPO5	5162	TRUE	FALSE	FALSE
