CurrentGene,StoufferMetaP,StoufferMetaP_FDR,StoufferMetaEuropeanP,StoufferMetaEuropeanP_FDR,MetalMetaP,MetalMetaEuropeanP,MetalMetaP_FDR,MetalMetaEuropeanP_FDR,Number_missingPvalues
NWD2,0.015533476724730735,0.49137404088932846,0.026450857302330818,0.5606798604772801,5.13384581455688e-5,2.683365153079422e-4,7.12711795173507e-4,0.0028212652969136325,0
TLE6,0.814896781860653,0.9346062364513151,0.5320324851537646,0.8691257554458596,0.04823892708632751,0.043980696870927385,0.05187797477858216,0.05113225246454276,2
RNF217,0.08957267824383545,0.674246424365849,0.24753871124601567,0.7957404253431006,9.924427975954825e-5,0.0014566897765522435,9.563321596217736e-4,0.005956022769553334,0
TMEM25,0.5143097053891607,0.8645520257391301,0.8027584021843949,0.9347571598613623,0.002261160978807495,0.026187201352919107,0.004756033028125188,0.033609309796892944,0
APBA1,0.5829092573532865,0.8811852274260397,0.5124864744893539,0.8656914359781162,0.00959820974388827,0.01502931714735939,0.012876505537792885,0.02228396543230338,0
CNTNAP5,0.16891714154371942,0.7332034361873264,0.09927382964948171,0.6944872415775779,5.523423714147181e-4,7.19270141317786e-4,0.002153627453608453,0.00435364907788881,0
TGM3,0.25912350789804045,0.7777396449464191,0.27586414948979776,0.7998860367397906,0.0017888372299201944,0.004647504364259644,0.004120154473900364,0.01065705074237518,0
ITGAM,0.6993049035573484,0.905090411692949,0.7052296824488402,0.9089109863040382,0.005876274186523539,0.013353077293997944,0.008961846403621753,0.020494749551156696,0
POLR3H,0.6482004188374805,0.8947804379280796,0.5451936012675108,0.8723971327974512,0.006677338555205869,0.008131593308774155,0.009816892364192604,0.014692453789217129,0
COIL,0.9578835447007374,0.980281919414559,0.987201303552112,0.9933425871160962,0.03124659017548584,0.12333136627552203,0.034786577930124164,0.1303884553887891,2
WDR75,0.6122009456420966,0.885529355522198,0.4574625529499795,0.8512165574561688,0.005477672665043609,0.006266025155337189,0.008523505480252177,0.012630419213810966,0
LINC00961,0.7120116297247572,0.9074283967452577,0.7895190890639368,0.9306988564402218,0.010811672682175784,0.031645974737345914,0.014139506897615972,0.03901553920292731,0
ELMO1,0.21426342581506783,0.7594036206634509,0.1945146982239862,0.7692987091489962,3.7543133643710356e-4,8.161216576526423e-4,0.0017623578477106686,0.00459457311288836,0
